№;Название;Цвет;Тип;Текст;DLC;Комментарий;;;;;;;
19;Миледи;Красный;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из красного дома.";;;;;;;;;
20;Лазутчица;Красный;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";;;;;;;;;
21;Блудница;Синий;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
22;Паж;Синий;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";;;;;;;;;
23;Лекарь;Синий;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";;;;;;;;;
24;Казначей;Синий;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";;;;;;;;;
25;Лорд;Синий;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";;;;;;;;;
26;Чумовой;Синий;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
27;Рыцарь;Синий;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";;;;;;;;;
28;Священник;Синий;Карта дома;"При каждом его появлении в доме
все соперники по очереди
отдают вам в руку
любую карту с руки.";;;;;;;;;
29;Миледи;Синий;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из синего дома.";;;;;;;;;
30;Лазутчица;Синий;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";;;;;;;;;
31;Блудница;Розовый;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
32;Паж;Розовый;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";;;;;;;;;
33;Лекарь;Розовый;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";;;;;;;;;
34;Казначей;Розовый;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";;;;;;;;;
35;Лорд;Розовый;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";;;;;;;;;
36;Чумовой;Розовый;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
37;Рыцарь;Розовый;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";;;;;;;;;
38;Менестрель;Розовый;Карта дома;"При каждом его появлении в доме
соперник показывает вам свою руку.
Всех Миледи, Лазутчиц и Блудниц
оттуда заберите себе в руку.";;;;;;;;;
39;Миледи;Розовый;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из розового дома.";;;;;;;;;
40;Лазутчица;Розовый;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";;;;;;;;;
41;Блудница;Рыжий;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
42;Паж;Рыжий;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";;;;;;;;;
43;Лекарь;Рыжий;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";;;;;;;;;
44;Казначей;Рыжий;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";;;;;;;;;
45;Лорд;Рыжий;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";;;;;;;;;
46;Чумовой;Рыжий;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
47;Рыцарь;Рыжий;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";;;;;;;;;
48;Наемник;Рыжий;Карта дома;"Во время хода соперника
можете отправить Наёмника
из дома в колоду сгинувших,
чтобы отменить любую
карту приказа.";;;;;;;;;
49;Миледи;Рыжий;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из рыжего дома.";;;;;;;;;
50;Лазутчица;Рыжий;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";;;;;;;;;
51;Блудница;Черный;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";Пираты;;;;;;;;
52;Паж;Черный;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";Пираты;;;;;;;;
53;Лекарь;Черный;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";Пираты;;;;;;;;
54;Казначей;Черный;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";Пираты;;;;;;;;
55;Лорд;Черный;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";Пираты;;;;;;;;
56;Чумовой;Черный;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";Пираты;;;;;;;;
57;Рыцарь;Черный;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";Пираты;;;;;;;;
58;Бутлегерша;Черный;Карта дома;"В качестве действия можете
сбросить любую карту с руки
в соответствующую колоду,
чтобы подсмотреть верхнюю
карту игровой колоды.";Пираты;;;;;;;;
59;Миледи;Черный;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из чёрного дома.";Пираты;;;;;;;;
60;Лазутчица;Черный;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";Пираты;;;;;;;;
61;Пират (зеленый);Черный;Карта дома;"При каждом его появлении в доме либо:
1) переложите себе Слугу
из зелёного дома соперника;
2) соперник отправляет свою карту из
зелёного дома в колоду
сгинувших.";Пираты;;;;;;;;
62;Пират (беежвый);Черный;Карта дома;"При каждом его появлении в доме либо:
1) переложите себе Слугу
из бежевого дома соперника;
2) соперник отправляет свою карту из
бежевого дома в колоду
сгинувших.";Пираты;;;;;;;;
63;Пират (рыжий);Черный;Карта дома;"При каждом его появлении в доме либо:
1) переложите себе Слугу
из рыжего дома соперника;
2) соперник отправляет свою карту из
рыжего дома в колоду
сгинувших.";Пираты;;;;;;;;
64;Пират (синий);Черный;Карта дома;"При каждом его появлении в доме либо:
1) переложите себе Слугу
из синего дома соперника;
2) соперник отправляет свою карту из
синего дома в колоду
сгинувших.";Пираты;;;;;;;;
65;Пират (розовый);Черный;Карта дома;"При каждом его появлении в доме либо:
1) переложите себе Слугу
из розового дома соперника;
2) соперник отправляет свою карту из
розового дома в колоду
сгинувших.";Пираты;;;;;;;;
66;Пират (красный);Черный;Карта дома;"При каждом его появлении в доме либо:
1) переложите себе Слугу
из красного дома соперника;
2) соперник отправляет свою карту из
красного дома в колоду
сгинувших.";Пираты;;;;;;;;
67;Брандер;Черный;Карта приказа;"Играется только в чужой ход,
но не во время смуты. Скиньте только что
выложенную карту замка соперника,
её свойство не играется. После этого
ход соперника сразу заканчивается.";Пираты;;;;;;;;
68;Брандер;Черный;Карта приказа;"Играется только в чужой ход,
но не во время смуты. Скиньте только что
выложенную карту замка соперника,
её свойство не играется. После этого
ход соперника сразу заканчивается.";Пираты;;;;;;;;
69;Бомбарда;Черный;Карта приказа;"Выберите дом с картой замка
и скиньте её. Отправьте в колоду
сгинувших из соседних от него домов
в сумме столько карт, сколько карт
в чёрном доме у вас выложено.";Пираты;;;;;;;;
70;Бомбарда;Черный;Карта приказа;"Выберите дом с картой замка
и скиньте её. Отправьте в колоду
сгинувших из соседних от него домов
в сумме столько карт, сколько карт
в чёрном доме у вас выложено.";Пираты;;;;;;;;
71;Сводничество;Черный;Карта приказа;"Переложите одну карту дома
соперника в другой его дом. Если эта
карта в своём новом доме останется
одна, она сразу отправляется
в колоду сгинувших.";Пираты;;;;;;;;
72;Сводничество;Черный;Карта приказа;"Переложите одну карту дома
соперника в другой его дом. Если эта
карта в своём новом доме останется
одна, она сразу отправляется
в колоду сгинувших.";Пираты;;;;;;;;
73;Измена;Черный;Карта приказа;"Играется только в чужой ход, но не
во время смуты. Переложите себе карту
соперника, только что оказавшуюся
в его доме, но не выложенную с руки.
Её свойство не разыгрывается
ни у вас, ни у соперника.";Пираты;;;;;;;;
74;Измена;Черный;Карта приказа;"Играется только в чужой ход, но не
во время смуты. Переложите себе карту
соперника, только что оказавшуюся
в его доме, но не выложенную с руки.
Её свойство не разыгрывается
ни у вас, ни у соперника.";Пираты;;;;;;;;
75;Абордаж;Черный;Карта приказа;"Выберите соперника
и посмотрите карты на его руке.
Заберите оттуда себе в руку
любую карту дома
(+1 за каждого выложенного Пирата).";Пираты;;;;;;;;
76;Щедрый прилив;Черный;Смута;"Игроки по очереди могут выкладывать по одной
карте дома с руки. Смута идёт до тех пор, пока
каждый не откажется от этой возможности.";Пираты;;;;;;;;
77;Бокленд;Черный;Смута;"Скиньте карты замков со всех домов. 
Игроки по очереди выкладывают замок любой 
стороной игроку слева. Получивший замок игрок 
сразу разыгрывает его свойство.";Пираты;В оригинале не скидывались карты замков;;;;;;;
78;Темные времена;Черный;Смута;"Возьмите колоду смут, перемешайте её и положите
взакрытую поверх игровой колоды. Эту карту
оставьте единственной в колоде смут.
Не разыгрывается повторно смутой Пророк.";Пираты;;;;;;;;
79;Черный замок;Черный;Замок разовое;"Выберите дом
и отправьте из него все
карты в колоду сгинувших";Пираты;е заменена на ё;;;;;;;
80;Черный замок;Черный;Замок постоянное;"Для постройки замков
соперникам нужно иметь
от 2 карт в их чёрном доме";Пираты;е заменена на ё;;;;;;;
81;Брачный союз;;Карта приказа;"Переложите свою карту дома
в другой свой дом.
Если эта карта в новом доме
останется одна, она отправится
в колоду сгинувших.";;;;;;;;;
82;Брачный союз;;Карта приказа;"Переложите свою карту дома
в другой свой дом.
Если эта карта в новом доме
останется одна, она отправится
в колоду сгинувших.";;;;;;;;;
83;Воссоединение;;Карта приказа;"Если у вас выложено
в определённом доме больше карт,
чем у соперника,
переложите себе одну его карту
этого дома.";;;;;;;;;
84;Воссоединение;;Карта приказа;"Если у вас выложено
в определённом доме больше карт,
чем у соперника,
переложите себе одну его карту
этого дома.";;;;;;;;;
85;Сбор урожая;;Карта приказа;"Можете взять в руку
до двух карт из игровой колоды
(+1 карту за каждого Слугу
в ваших домах).";;Стоит ли писать слугу с большой буквы? Да написал;;;;;;;
86;Сбор урожая;;Карта приказа;"Можете взять в руку
до двух карт из игровой колоды
(+1 карту за каждого Слугу
в ваших домах).";;;;;;;;;
87;Таран;;Карта приказа;"Выберите дом соперника.
Скиньте с него карту замка,
если она есть. Соперник отправляет
в колоду сгинувших столько карт
этого дома, сколько Рыцарей и
Пажей у вас выложено.";;;;;;;;;
88;Таран;;Карта приказа;"Выберите дом соперника.
Скиньте с него карту замка,
если она есть. Соперник отправляет
в колоду сгинувших столько карт
этого дома, сколько Рыцарей и
Пажей у вас выложено.";;;;;;;;;
89;Вор;;Карта приказа;"Заберите себе в руку 1 случайную
карту с руки соперника
(+1 карту за каждую Лазутчицу в
ваших домах).";;Лазутчица написал с большой буквы;;;;;;;
90;Вор;;Карта приказа;"Заберите себе в руку 1 случайную
карту с руки соперника
(+1 карту за каждую Лазутчицу в
ваших домах).";;;;;;;;;
91;Ложный приказ;;Карта приказа;"В любое время. Не считается за
действие. Отмените любую карту
приказа соперника,
направленную против вас.";;Добавлена запятая в причастном обороте;;;;;;;
92;Ложный приказ;;Карта приказа;"В любое время. Не считается за
действие. Отмените любую карту
приказа соперника,
направленную против вас.";;;;;;;;;
93;Ложный приказ;;Карта приказа;"В любое время. Не считается за
действие. Отмените любую карту
приказа соперника,
направленную против вас.";;;;;;;;;
94;Осадная башня;;Карта приказа;"Выберите дом соперника.
Скиньте с него карту замка,
если она есть. Соперник
перекладывает вам свою карту
из этого дома на свой выбор.";;;;;;;;;
95;Осадная башня;;Карта приказа;"Выберите дом соперника.
Скиньте с него карту замка,
если она есть. Соперник
перекладывает вам свою карту
из этого дома на свой выбор.";;;;;;;;;
96;Требушет;;Карта приказа;"Выберите дом соперника. Скиньте
с него карту замка, если она есть.
 Отправьте любую карту этого дома
в колоду сгинувших.";;;;;;;;;
97;Требушет;;Карта приказа;"Выберите дом соперника. Скиньте
с него карту замка, если она есть.
 Отправьте любую карту этого дома
в колоду сгинувших.";;;;;;;;;
98;Бал;;Карта приказа;"Переложите себе любого
мужчину (кроме Слуги)
из дома соперника.
(+1 мужчину за каждую
Миледи в ваших домах).";;;;;;;;;
99;Лазарет;;Карта приказа;"Выложите верхнюю
карту из колоды сгинувших
(+1 карту за каждого Лекаря
в ваших домах).";;;;;;;;;
100;Лазарет;;Карта приказа;"Выложите верхнюю
карту из колоды сгинувших
(+1 карту за каждого Лекаря
в ваших домах).";;;;;;;;;
101;Красный купец;;Карта приказа;"Обменяйте любые свои
выложенные карты на чужие,
лимит обменов равен количеству
карт в вашем красном доме.";;;;;;;;;
102;Синий купец;;Карта приказа;"Обменяйте любые свои
выложенные карты на чужие,
лимит обменов равен количеству
карт в вашем синем доме.";;;;;;;;;
103;Рыжий купец;;Карта приказа;"Обменяйте любые свои
выложенные карты на чужие,
лимит обменов равен количеству
карт в вашем рыжем доме.";;;;;;;;;
104;Зеленый купец;;Карта приказа;"Обменяйте любые свои
выложенные карты на чужие,
лимит обменов равен количеству
карт в вашем зелёном доме.";;"Опечатка в слове ""дома""";;;;;;;
105;Розовый купец;;Карта приказа;"Обменяйте любые свои
выложенные карты на чужие,
лимит обменов равен количеству
карт в вашем розовом доме.";;;;;;;;;
106;Красный ассасин;;Карта приказа;"Можете отправить в колоду
сгинувших столько карт
на столе, сколько карт
в красном доме у вас выложено.";;;;;;;;;
107;Синий ассасин;;Карта приказа;"Можете отправить в колоду
сгинувших столько карт
на столе, сколько карт
в синем доме у вас выложено.";;;;;;;;;
108;Рыжий ассасин;;Карта приказа;"Можете отправить в колоду
сгинувших столько карт
на столе, сколько карт
в рыжем доме у вас выложено.";;;;;;;;;
109;Зеленый ассасин;;Карта приказа;"Можете отправить в колоду
сгинувших столько карт
на столе, сколько карт
в зелёном доме у вас выложено.";;;;;;;;;
110;Розовый ассасин;;Карта приказа;"Можете отправить в колоду
сгинувших столько карт
на столе, сколько карт
в розовом доме у вас выложено.";;;;;;;;;
111;Рыже-розовый слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
112;Рыже-зеленый слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
113;Рыже-синий слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
114;Розово-зеленый слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
115;Сине-зеленый слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
116;Розово-синий слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
117;Розово-красный слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
118;Рыже-красный слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
119;Красно-зеленый слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
120;Сине-красный слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";;;;;;;;;
121;Чума;;Смута;"Скиньте карты замков со всех домов.
Игроки по очереди отправляют в колоду сгинувших
все свои дома, в которых есть Чумовые.
Лекарь защищает дом. ";;;;;;;;;
122;Пожар;;Смута;"Скиньте карты замков со всех домов.
Бывшие обладатели замков по очереди отправляют
любую карту из этого своего дома в колоду сгинувших.";;;;;;;;;
123;Игра престолов;;Смута;"Игроки по очереди показывают руку
игроку слева. Если там есть Лорды,
они выкладываются к смотрящему.";;;;;;;;;
124;Заговор;;Смута;"Игроки по очереди перекладывают любую свою
выложенную карту дома любому сопернику.
Даренное - не отдают.";;;;;;;;;
125;Новая эпоха;;Смута;"Игроки по очереди выкладывают
по одной верхней карте из колоды сгинувших,
пока она не закончится.";;;;;;;;;
126;Великий пир;;Смута;"Игроки по очереди берут по одной карте из игровой
колоды в руку, пока не упрутся в лимит карт
или не наткнутся на Смуту. Смуту не берут.";;Смута написа с большой буквы;;;;;;;
127;Предательство;;Смута;"Игроки по очереди забирают у вас
одну случайную карту с руки.
Ваш ход начинается заново.";;;;;;;;;
128;Землетрясение;;Смута;"Скиньте карты замков со всех домов.
Игроки по очереди перекладывают себе все карты
из левого дома любого соперника.";;;;;;;;;
129;Святой грааль;;Смута;"Игроки по очереди берут по одной карте
из колоды приказов,
пока не упрутся в лимит карт.";;;;;;;;;
130;Засуха;;Смута;"Скиньте карты замков со всех домов.
Игроки по очереди переворачивают всех своих Слуг,
перекладывая их в свои соответствующие дома.";;;;;;;;;
131;Пророк;;Смута;"Выберите любую смуту из колоды смут
и немедленно разыграйте её.
Положите её поверх смуты «Пророк».";;;;;;;;;
132;Удачный поход;;Смута;"Игроки по очереди перекладывают себе
любую карту из правого дома любого соперника.";;;;;;;;;
133;Отрава;;Смута;"Игроки по очереди могут сбросить одну карту с руки,
чтобы отправить любую карту дома на столе
в колоду сгинувших. Алхимик защищает дом.";;;;;;;;;
134;Реформация;;Смута;"Обладатели замков по очереди
переворачивают свои карты замков.
Новые свойства сразу вступают в силу.";;;;;;;;;
135;Инквизиция;;Смута;"Игроки по очереди отправляют
в колоду сгинувших все свои дома,
в которых есть Блудницы.";;Картинку пришлось сменить, нейронка отказывается генерить такое;;;;;;;
136;Розовый замок;Розовый;Замок разовое;"Переложите себе Лекарей
из всех домов соперников";;;;;;;;;
137;Розовый замок;Розовый;Замок постоянное;"Свойства Чумовых и
Блудниц на ваши дома
не распространяются";;;;;;;;;
138;Рыжий замок;Рыжий;Замок разовое;"Переложите себе
любую карту
дома соперника";;;;;;;;;
139;Рыжий замок;Рыжий;Замок постоянное;"В качестве действия
можете брать до 3 карт
из игровой колоды";;;;;;;;;
140;Синий замок;Синий;Замок разовое;"Посмотрите карты на руке
соперника и заберите
любую из них себе в руку";;;;;;;;;
141;Синий замок;Синий;Замок постоянное;"Приказы соперников
вместо колоды приказов,
отправляются вам в руку";;;;;;;;;
142;Красный замок;Красный;Замок разовое;"Возьмите в руку
любую карту
из колоды приказов";;;;;;;;;
143;Красный замок;Красный;Замок постоянное;"Если вы взяли смуту,
то после её розыгрыша
ваш ход начинается заново";;;;;;;;;
144;Зеленый замок;Зеленый;Замок разовое;"Выложите любую карту из
колоды сгинувших";;"Была опечатка в слове ""сгинувших""";;;;;;;
145;Зеленый замок;Зеленый;Замок постоянное;"Карты дома соперников
вместо колоды сгинувших
отправляются вам в руку";;;;;;;;;
146;Бежевый замок;Бежевый;Замок разовое;"Сбросьте все карты
с руки соперника";Бежевое DLC;;;;;;;;
147;Бежевый замок;Бежевый;Замок постоянное;"Можете совершать
до 4 действий";Бежевое DLC;;;;;;;;
148;Блудница;Бежевый;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";Бежевое DLC;;;;;;;;
149;Паж;Бежевый;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";Бежевое DLC;;;;;;;;
150;Лекарь;Бежевый;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";Бежевое DLC;;;;;;;;
151;Казначей;Бежевый;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";Бежевое DLC;;;;;;;;
152;Лорд;Бежевый;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";Бежевое DLC;;;;;;;;
153;Чумовой;Бежевый;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";Бежевое DLC;;;;;;;;
154;Рыцарь;Бежевый;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";Бежевое DLC;;;;;;;;
155;Ведунья;Бежевый;Карта дома;"Пока находится в доме,
игровая колода перевёрнута и
играется в открытую.";Бежевое DLC;;;;;;;;
156;Миледи;Бежевый;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из бежевого дома.";Бежевое DLC;;;;;;;;
157;Лазутчица;Бежевый;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";Бежевое DLC;;;;;;;;
158;Бежево-зеленый слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";Бежевое DLC;;;;;;;;
159;Бежево-розовый слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";Бежевое DLC;;;;;;;;
160;Бежево-рыжий слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";Бежевое DLC;;;;;;;;
161;Бежево-красный слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";Бежевое DLC;;;;;;;;
162;Бежево-синий слуга;;Карта дома;"При каждом появлении у вас
вы сами выбираете,
каким цветом
его выкладывать

Также, при каждом 
его появлении
в доме, возьмите
карту из игровой
колоды (если ход ваш и
не во время розыгрыша смуты)";Бежевое DLC;;;;;;;;
163;Бежевый купец;;Карта приказа;"Обменяйте любые свои
выложенные карты на чужие,
лимит обменов равен количеству
карт в вашем бежевом доме.";Бежевое DLC;;;;;;;;
164;Бежевый ассасин;;Карта приказа;"Можете отправить в колоду
сгинувших столько карт
на столе, сколько карт
в бежевом доме у вас выложено.";Бежевое DLC;;;;;;;;
165;Засада;;Карта приказа;"Играется только в чужой ход.
Не считается за действие. Немедленно
отправьте в колоду сгинувших только 
что выложенную с руки соперником
карту дома. Её свойство не играется.
";Бежевое DLC;;;;;;;;
166;Засада;;Карта приказа;"Играется только в чужой ход.
Не считается за действие. Немедленно
отправьте в колоду сгинувших только 
что выложенную с руки соперником
карту дома. Её свойство не играется.
";Бежевое DLC;;;;;;;;
167;Подкуп;;Карта приказа;"Выберите дом соперника.
Скиньте с него карту замка, если она есть.
Соперник отдаёт вам в руку любую
карту с руки. (+1 карту за каждого
Казначея в ваших домах).";Бежевое DLC;Скобки добавил;;;;;;;
168;Подкуп;;Карта приказа;"Выберите дом соперника.
Скиньте с него карту замка, если она есть.
Соперник отдаёт вам в руку любую
карту с руки. (+1 карту за каждого
Казначея в ваших домах).";Бежевое DLC;;;;;;;;
169;Рыцарский турнир;;Карта приказа;"Переложите себе любую
женщину (кроме Слуги)
из дома соперника.
(+1 женщину за каждого
Лорда в ваших домах).";Бежевое DLC;Поменял текстовку на более понятную;;;;;;;
170;Вотчина;;Смута;"Скиньте карты замков со всех домов.
Игроки по очереди выкладывают карту замка
перед любым своим домом, где есть хотя бы одна
карта дома, и разыгрывают свойство этого замка.";Бежевое DLC;Теперь скидываются карты замков в начале;;;;;;;
